GEOID,NAME,state,county,tract,total_population,median_household_income,total_housing_units,pct_white,pct_hs_or_above
51810045803,"Census Tract 458.03, Virginia Beach city, Virginia",51,810,045803,3052,70375.0,1518,67.20183486238533,94.64944649446494
51179010503,"Census Tract 105.03, Stafford County, Virginia",51,179,010503,2120,93750.0,829,91.41509433962264,91.59322033898304
51179010301,"Census Tract 103.01, Stafford County, Virginia",51,179,010301,4307,117100.0,1374,77.68748548873926,89.89830508474577
51550020002,"Census Tract 200.02, Chesapeake city, Virginia",51,550,020002,4514,47287.0,1834,56.601683650863976,82.9854969932791
51550021403,"Census Tract 214.03, Chesapeake city, Virginia",51,550,021403,4745,46061.0,1905,62.929399367755536,82.12418300653594
51550021404,"Census Tract 214.04, Chesapeake city, Virginia",51,550,021404,7444,52433.0,2912,22.25953788285868,89.62088253573648
51550020400,"Census Tract 204, Chesapeake city, Virginia",51,550,020400,2967,46815.0,1233,67.67778901247051,82.07990599294948
51550020804,"Census Tract 208.04, Chesapeake city, Virginia",51,550,020804,8299,98922.0,3146,72.06892396674299,95.98116697494535
51550021502,"Census Tract 215.02, Chesapeake city, Virginia",51,550,021502,8097,77991.0,2929,72.82944300358157,93.91435011269722
51550020600,"Census Tract 206, Chesapeake city, Virginia",51,550,020600,4277,57407.0,1653,76.01122281973346,85.56701030927834
51550020200,"Census Tract 202, Chesapeake city, Virginia",51,550,020200,4331,39205.0,1547,8.912491341491572,83.47648261758691
51550021004,"Census Tract 210.04, Chesapeake city, Virginia",51,550,021004,5604,87014.0,2034,83.56531049250535,96.91545028917653
51550021402,"Census Tract 214.02, Chesapeake city, Virginia",51,550,021402,6247,74327.0,2327,80.39058748199136,89.57442017563612
51550021501,"Census Tract 215.01, Chesapeake city, Virginia",51,550,021501,10472,67710.0,3875,56.7131398013751,90.63955293387147
51550021602,"Census Tract 216.02, Chesapeake city, Virginia",51,550,021602,6510,46964.0,2645,34.34715821812596,89.58483321334293
51550020904,"Census Tract 209.04, Chesapeake city, Virginia",51,550,020904,8676,61906.0,3891,53.88427846934071,95.1889433170049
51550020003,"Census Tract 200.03, Chesapeake city, Virginia",51,550,020003,6569,52231.0,2285,69.61485766478917,85.33068125310791
51550021601,"Census Tract 216.01, Chesapeake city, Virginia",51,550,021601,8070,87727.0,3117,73.02354399008674,95.00459136822774
51570830400,"Census Tract 8304, Colonial Heights city, Virginia",51,570,830400,2485,40048.0,1183,67.96780684104627,89.47671075330649
51570830100,"Census Tract 8301, Colonial Heights city, Virginia",51,570,830100,4717,73011.0,1979,90.29043883824464,91.32999115305219
51570830200,"Census Tract 8302, Colonial Heights city, Virginia",51,570,830200,3164,40079.0,1651,73.54614412136536,85.92274678111588
51570830500,"Census Tract 8305, Colonial Heights city, Virginia",51,570,830500,4293,44934.0,1869,77.49825296995108,87.40431454418929
