Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat,geometry
Gore,UNKNOWN108970,108970,GORE,Gore,22637,SUBSTATION,Substation,IN SERVICE,In service,FREDERICK,Frederick,51069,VA,Virginia,USA,39.276202978,-78.364642183,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,http://wvgis.wvu.edu/data/data.php,2014-04-07,IMAGERY,2015-10-12,-999999.0,Unknown,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-78.36464218292232 39.276202978290364)
Imboden,IMBODEN,109418,APPALACHIA,Appalachia,24216,SUBSTATION,Substation,IN SERVICE,In service,WISE,Wise,51195,VA,Virginia,USA,36.881392828,-82.812629194,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://psc.ky.gov/pscecf/2016-00370/derek.rahn@lge-ku.com/02202017101534/2016_AG_DR2_KU_Attach_to_Q109.xls",2014-04-16,IMAGERY,2019-02-07,7.0,7,161.0,161,69.0,69,Y,N,69 to 114,POINT (-82.8126291937461 36.881392827846916)
Dorchester,DORCHESTER,109430,NORTON,Norton,24273,SUBSTATION,Substation,IN SERVICE,In service,NORTON,Norton,51720,VA,Virginia,USA,36.93299155,-82.646730906,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://psc.ky.gov/pscecf/2016-00370/derek.rahn@lge-ku.com/02202017101534/2016_AG_DR2_KU_Attach_to_Q109.xls",2014-04-16,IMAGERY,2019-02-07,7.0,7,161.0,161,-999999.0,Unknown,Y,N,Unknown,POINT (-82.6467309061381 36.93299154981974)
Richlands,RICHLANDS,113073,RICHLANDS,Richlands,24641,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.092140444,-81.806642638,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,4.0,4,138.0,138,69.0,69,Y,N,69 to 114,POINT (-81.80664263827431 37.092140443900995)
Claypool Hill,CLAYPOOL HILL,113074,CEDAR BLUFF,Cedar Bluff,24609,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.045245075,-81.775463668,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.77546366794967 37.045245074808655)
Sandy Ridge,SANDY RIDGE,113075,RICHLANDS,Richlands,24641,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.173709944,-81.815618283,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.81561828299637 37.17370994412246)
Jewell Ridge,JEWELL RIDGE,113076,JEWELL RIDGE,Jewell Ridge,24622,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.192425872,-81.783045603,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.78304560255955 37.19242587221353)
Jewell Branch,JEWELL BRANCH,113077,JEWELL RIDGE,Jewell Ridge,24622,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.223098076,-81.792823919,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.7928239189374 37.22309807577476)
Buckhorn,BUCKHORN,113080,NORTH TAZEWELL,North Tazewell,24630,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.135488766,-81.495851519,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.49585151936552 37.13548876602594)
Lonesome Pine,LONESOME PINE,113081,BLUEFIELD,Bluefield,24605,SUBSTATION,Substation,IN SERVICE,In service,TAZEWELL,Tazewell,51185,VA,Virginia,USA,37.236661525,-81.313953741,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-25,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,N,N,115 to 229,POINT (-81.31395374067729 37.23666152534078)
Clinchfield,CLINCHFIELD,113087,CLEVELAND,Cleveland,24225,SUBSTATION,Substation,IN SERVICE,In service,RUSSELL,Russell,51167,VA,Virginia,USA,36.983348164,-82.182834068,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,4.0,4,138.0,138,-999999.0,Unknown,Y,Y,Unknown,POINT (-82.18283406801925 36.98334816365919)
Fletchers Ridge,FLETCHERS RIDGE,113088,VANSANT,Vansant,24656,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.113978281,-82.069052922,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.06905292233003 37.1139782811872)
Hales Branch,HALES BRANCH,113089,OAKWOOD,Oakwood,24631,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.260518005,-81.943080533,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,6.0,6,138.0,138,69.0,69,Y,N,69 to 114,POINT (-81.94308053330751 37.26051800532376)
Jewell Smokeless C and C Coal Co,JEWELL SMOKELESS C AND C COAL CO,113090,PILGRIMS KNOB,Pilgrims Knob,24634,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.246743077,-81.928323017,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-06-26,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.9283230170065 37.24674307717373)
Shack Mills Station,SHACK MILLS STATION,113091,RAVEN,Raven,24639,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.213488762,-81.903817364,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.90381736412793 37.21348876209025)
Kean Mtn and Grassy Creek,KEAN MTN AND GRASSY CREEK,113092,RAVEN,Raven,24639,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.174664831,-81.922540752,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.92254075196547 37.17466483134411)
Buchanan Generation LLC,BUCHANAN GENERATION LLC,113093,OAKWOOD,Oakwood,24631,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.175484119,-81.961054985,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-06-26,IMAGERY,2021-06-01,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-81.96105498491289 37.17548411881457)
Looney Creek,LOONEY CREEK,113094,GRUNDY,Grundy,24614,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.315534781,-82.09443031,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,4.0,4,138.0,138,69.0,69,Y,N,69 to 114,POINT (-82.09443031024178 37.31553478065413)
Grundy,GRUNDY,113095,GRUNDY,Grundy,24614,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.30119801,-82.124632632,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-26,IMAGERY,2019-02-06,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-82.12463263218956 37.30119801011463)
Freemont,FREEMONT,113964,CLINTWOOD,Clintwood,24228,SUBSTATION,Substation,IN SERVICE,In service,DICKENSON,Dickenson,51051,VA,Virginia,USA,37.129821096,-82.396448409,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.pjm.com/-/media/markets-ops/trans-service/trans-fac/aepsct.ashx",2014-06-27,IMAGERY,2017-10-19,7.0,7,138.0,138,-999999.0,Unknown,Y,N,Unknown,POINT (-82.39644840932235 37.12982109628076)
Lockhart,LOCKHART,113965,CLINTWOOD,Clintwood,24228,SUBSTATION,Substation,IN SERVICE,In service,DICKENSON,Dickenson,51051,VA,Virginia,USA,37.153858411,-82.425601962,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-27,IMAGERY,2019-02-06,2.0,2,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.42560196165063 37.153858411146466)
Moss,MOSS,113966,CLINCHCO,Clinchco,24226,SUBSTATION,Substation,IN SERVICE,In service,DICKENSON,Dickenson,51051,VA,Virginia,USA,37.151894166,-82.356432843,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2014-06-27,IMAGERY,2019-02-06,2.0,2,69.0,69,69.0,69,N,N,69 to 114,POINT (-82.35643284270184 37.15189416614445)
Wolf Hills Energy,WOLF HILLS ENERGY,113973,BRISTOL,Bristol,24202,SUBSTATION,Substation,IN SERVICE,In service,WASHINGTON,Washington,51191,VA,Virginia,USA,36.663592036,-82.103898667,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-06-27,IMAGERY,2021-06-01,6.0,6,138.0,138,138.0,138,Y,Y,115 to 229,POINT (-82.10389866742246 36.6635920358173)
Danville New Design Plant,DANVILLE NEW DESIGN PLANT,114444,DANVILLE,Danville,24540,SUBSTATION,Substation,IN SERVICE,In service,DANVILLE,Danville,51590,VA,Virginia,USA,36.631676032,-79.397570093,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-08,IMAGERY,2021-06-01,3.0,3,69.0,69,-999999.0,Unknown,Y,Y,Unknown,POINT (-79.39757009321553 36.631676031691825)
Danville Westover Plant,DANVILLE WESTOVER PLANT,114448,DANVILLE,Danville,24541,SUBSTATION,Substation,IN SERVICE,In service,DANVILLE,Danville,51590,VA,Virginia,USA,36.60656779,-79.457745699,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-08,IMAGERY,2021-06-01,2.0,2,69.0,69,69.0,69,Y,Y,69 to 114,POINT (-79.45774569905296 36.60656779014002)
Mecklenburg Power Station,MECKLENBURG POWER STATION,114495,CLARKSVILLE,Clarksville,23927,SUBSTATION,Substation,IN SERVICE,In service,MECKLENBURG,Mecklenburg,51117,VA,Virginia,USA,36.600861242,-78.528776927,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-14,IMAGERY,2021-06-01,5.0,5,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-78.52877692671066 36.60086124195375)
Emporia,EMPORIA,114508,EMPORIA,Emporia,23847,SUBSTATION,Substation,IN SERVICE,In service,EMPORIA,Emporia,51595,VA,Virginia,USA,36.695860611,-77.5596501,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-15,IMAGERY,2021-06-01,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-77.55965009967238 36.69586061093672)
Southampton Power Station,SOUTHAMPTON POWER STATION,114522,COURTLAND,Courtland,23837,SUBSTATION,Substation,IN SERVICE,In service,SOUTHAMPTON,Southampton,51175,VA,Virginia,USA,36.653186645,-76.99554592,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-16,IMAGERY,2021-06-01,3.0,3,230.0,230,230.0,230,Y,Y,Min 230,POINT (-76.99554592031879 36.65318664487002)
Multitrade of Pittsylvania LP,MULTITRADE OF PITTSYLVANIA LP,114628,HURT,Hurt,24563,SUBSTATION,Substation,IN SERVICE,In service,PITTSYLVANIA,Pittsylvania,51143,VA,Virginia,USA,37.104175495,-79.276803879,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-11,IMAGERY,2021-06-01,2.0,2,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-79.27680387874402 37.1041754947224)
Waller,UNKNOWN114845,114845,WILLIAMSBURG,Williamsburg,23185,SUBSTATION,Substation,IN SERVICE,In service,YORK,York,51199,VA,Virginia,USA,37.295853357,-76.705549607,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-30,IMAGERY,2014-07-30,4.0,4,230.0,230,230.0,230,N,N,Min 230,POINT (-76.70554960727466 37.29585335669895)
Elizabeth River Power Station,ELIZABETH RIVER POWER STATION,115109,CHESAPEAKE,Chesapeake,23323,SUBSTATION,Substation,IN SERVICE,In service,CHESAPEAKE,Chesapeake,51550,VA,Virginia,USA,36.773745488,-76.311726046,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-22,IMAGERY,2021-06-01,3.0,3,230.0,230,230.0,230,Y,Y,Min 230,POINT (-76.31172604603132 36.773745487974814)
Wheelabrator Portsmouth,WHEELABRATOR PORTSMOUTH,115110,PORTSMOUTH,Portsmouth,23704,SUBSTATION,Substation,IN SERVICE,In service,PORTSMOUTH,Portsmouth,51740,VA,Virginia,USA,36.809706224,-76.303660905,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-07-22,IMAGERY,2021-06-01,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-76.30366090493517 36.80970622364293)
Virginia Beach,VIRGINIA BEACH,115499,VIRGINIA BEACH,Virginia Beach,23451,SUBSTATION,Substation,IN SERVICE,In service,VIRGINIA BEACH,Virginia Beach,51810,VA,Virginia,USA,36.84999299,-76.017049771,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-24,IMAGERY,2020-05-01,4.0,4,230.0,230,115.0,115,Y,Y,115 to 229,POINT (-76.01704977086835 36.849992990052904)
Davis,DAVIS,115503,VIRGINIA BEACH,Virginia Beach,23462,SUBSTATION,Substation,IN SERVICE,In service,VIRGINIA BEACH,Virginia Beach,51810,VA,Virginia,USA,36.85186452,-76.175624841,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-07-24,IMAGERY,2020-05-01,5.0,5,115.0,115,-999999.0,Unknown,Y,N,Unknown,POINT (-76.17562484136327 36.85186452023121)
Burton,BURTON,115504,VIRGINIA BEACH,Virginia Beach,23455,SUBSTATION,Substation,IN SERVICE,In service,VIRGINIA BEACH,Virginia Beach,51810,VA,Virginia,USA,36.90759809,-76.172973051,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.dominionenergy.com/library/domcom/media/about-us/electric-projects/power-line-projects/greenwich-burton/greenwich-burton-postcard-map.pdf?la=en",2014-07-24,IMAGERY,2019-03-04,1.0,1,115.0,115,115.0,115,N,N,115 to 229,POINT (-76.17297305057716 36.90759808978361)
Nottoway Diesel Generating Facility,NOTTOWAY DIESEL GENERATING FACILITY,116252,AMELIA COURT HOUSE,Amelia Court House,23002,SUBSTATION,Substation,IN SERVICE,In service,AMELIA,Amelia,51007,VA,Virginia,USA,37.295061775,-77.98641191,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-12,IMAGERY,2021-06-01,1.0,1,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-77.98641190985909 37.29506177486223)
GRS Richmond,GRS RICHMOND,116256,HENRICO,Henrico,23231,SUBSTATION,Substation,IN SERVICE,In service,HENRICO,Henrico,51087,VA,Virginia,USA,37.497050663,-77.353492109,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-13,IMAGERY,2021-06-01,-999999.0,Unknown,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-77.35349210940078 37.49705066304492)
Philip Morris,PHILIP MORRIS,116257,CHESTER,Chester,23836,SUBSTATION,Substation,IN SERVICE,In service,CHESTERFIELD,Chesterfield,51041,VA,Virginia,USA,37.342236743,-77.285163388,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-13,IMAGERY,2021-06-01,2.0,2,230.0,230,230.0,230,N,N,Min 230,POINT (-77.28516338775647 37.3422367429132)
Louisa Generation Facility,LOUISA GENERATION FACILITY,116429,GORDONSVILLE,Gordonsville,22942,SUBSTATION,Substation,IN SERVICE,In service,LOUISA,Louisa,51109,VA,Virginia,USA,38.117418903,-78.215461394,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-15,IMAGERY,2021-06-01,3.0,3,230.0,230,230.0,230,Y,Y,Min 230,POINT (-78.21546139363144 38.11741890265482)
Gordonsville Energy LP,GORDONSVILLE ENERGY LP,116430,GORDONSVILLE,Gordonsville,22942,SUBSTATION,Substation,IN SERVICE,In service,LOUISA,Louisa,51109,VA,Virginia,USA,38.124065122,-78.204218084,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-15,IMAGERY,2021-06-01,3.0,3,230.0,230,230.0,230,Y,Y,Min 230,POINT (-78.20421808402696 38.12406512234064)
Bremo Bluff,BREMO BLUFF,116432,BREMO BLUFF,Bremo Bluff,23022,SUBSTATION,Substation,IN SERVICE,In service,FLUVANNA,Fluvanna,51065,VA,Virginia,USA,37.709731738,-78.288448576,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-15,IMAGERY,2021-06-01,10.0,10,230.0,230,-999999.0,Unknown,Y,Y,Unknown,POINT (-78.28844857621826 37.70973173768029)
Slabtown,SLABTOWN,116469,FREDERICKSBURG,Fredericksburg,22408,SUBSTATION,Substation,IN SERVICE,In service,SPOTSYLVANIA,Spotsylvania,51177,VA,Virginia,USA,38.224565121,-77.473778418,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.dominionenergy.com/library/domcom/media/about-us/electric-projects/power-line-projects/four-rivers-fredericksburg/route-map-9817.pdf?la=en",2014-08-19,IMAGERY,2019-03-06,1.0,1,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-77.47377841779637 38.22456512072543)
Oak Green,UNKNOWN116482,116482,CULPEPER,Culpeper,22701,SUBSTATION,Substation,IN SERVICE,In service,ORANGE,Orange,51137,VA,Virginia,USA,38.333784005,-77.947380814,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-08-20,IMAGERY,2014-08-20,3.0,3,115.0,115,115.0,115,Y,Y,115 to 229,POINT (-77.94738081414498 38.33378400472616)
Falls Church,FALLS CHURCH,116658,ARLINGTON,Arlington,22205,SUBSTATION,Substation,IN SERVICE,In service,ARLINGTON,Arlington,51013,VA,Virginia,USA,38.885727458,-77.157697115,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.alexandriava.gov/uploadedFiles/special/dominion/DVP%20Presentation%2003-23-16%20230%20kV%20Update.pdf",2014-08-22,IMAGERY,2017-11-30,4.0,4,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.15769711478949 38.88572745806458)
Moore,MOORE,116659,CLIFTON,Clifton,20124,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.767553956,-77.375004777,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.pjm.com/-/media/committees-groups/committees/teac/20181213/20181213-reliability-analysis-update.ashx",2014-08-22,IMAGERY,2019-03-14,1.0,1,230.0,230,230.0,230,N,N,Min 230,POINT (-77.37500477697529 38.76755395592107)
Possum Point,POSSUM POINT,116661,DUMFRIES,Dumfries,22026,SUBSTATION,Substation,IN SERVICE,In service,PRINCE WILLIAM,Prince William,51153,VA,Virginia,USA,38.537413602,-77.281179286,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2014-08-22,IMAGERY,2021-06-01,7.0,7,230.0,230,115.0,115,Y,Y,115 to 229,POINT (-77.28117928580954 38.53741360197641)
Franconia,FRANCONIA,116744,SPRINGFIELD,Springfield,22150,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.73904943,-77.193791114,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.alexandriava.gov/uploadedFiles/special/dominion/DVP%20Presentation%2003-23-16%20230%20kV%20Update.pdf",2014-08-26,IMAGERY,2017-11-30,4.0,4,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.19379111388496 38.739049430091825)
Hayfield,HAYFIELD,116745,ALEXANDRIA,Alexandria,22310,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.763114803,-77.150404319,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.alexandriava.gov/uploadedFiles/special/dominion/DVP%20Presentation%2003-23-16%20230%20kV%20Update.pdf",2014-08-26,IMAGERY,2017-11-30,4.0,4,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.1504043191235 38.763114802996995)
Van Dorn,VAN DOM,116746,ALEXANDRIA,Alexandria,22310,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.794993513,-77.149285378,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.alexandriava.gov/uploadedFiles/special/dominion/DVP%20Presentation%2003-23-16%20230%20kV%20Update.pdf",2014-08-26,IMAGERY,2017-11-30,2.0,2,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.14928537760558 38.79499351327416)
Viriginia Hills,VIRIGINIA HILLS,116747,ALEXANDRIA,Alexandria,22310,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.784851298,-77.108494079,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.alexandriava.gov/uploadedFiles/special/dominion/DVP%20Presentation%2003-23-16%20230%20kV%20Update.pdf",2014-08-26,IMAGERY,2017-11-30,6.0,6,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.1084940789063 38.78485129817821)
Annandale,ANNANDALE,116752,ALEXANDRIA,Alexandria,22312,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.823506477,-77.169013702,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-08-26,IMAGERY,2017-11-30,1.0,1,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-77.1690137017683 38.82350647731725)
Elk Run,UNKNOWN116754,116754,MIDLAND,Midland,22728,SUBSTATION,Substation,IN SERVICE,In service,FAUQUIER,Fauquier,51061,VA,Virginia,USA,38.556272745,-77.709735632,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-08-26,IMAGERY,2014-08-26,2.0,2,115.0,115,115.0,115,N,N,115 to 229,POINT (-77.70973563169326 38.556272745167774)
Arcola,ARCOLA,116769,ALDIE,Aldie,20105,SUBSTATION,Substation,IN SERVICE,In service,LOUDOUN,Loudoun,51107,VA,Virginia,USA,38.896654899,-77.5698336,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.dominionenergy.com/library/domcom/media/about-us/electric-projects/power-line-projects/brambleton-mosby/brambleton-mosby-aerial-map.pdf",2014-08-27,IMAGERY,2019-03-07,1.0,1,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.56983360026084 38.896654898654475)
Burke-Sideburn,BURKE-SIDEBURN,116772,FAIRFAX,Fairfax,22032,SUBSTATION,Substation,IN SERVICE,In service,FAIRFAX,Fairfax,51059,VA,Virginia,USA,38.822357296,-77.307388099,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2014-08-27,IMAGERY,2020-05-01,1.0,1,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.30738809865274 38.822357296174005)
Prince William Dp,PRINCE WILLIAM DP,116773,MANASSAS,Manassas,20110,SUBSTATION,Substation,IN SERVICE,In service,MANASSAS,Manassas,51683,VA,Virginia,USA,38.74964876,-77.474387456,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://www.pjm.com/-/media/committees-groups/committees/teac/20181213/20181213-reliability-analysis-update.ashx",2014-08-27,IMAGERY,2019-03-14,2.0,2,230.0,230,230.0,230,Y,Y,Min 230,POINT (-77.47438745579606 38.74964875979499)
